State/Province,Country,Country Lookup: Time Zone,Exlibris Customer Care Region,Account Name,Account Name Internal,Account Currency
Barcelona,Spain,,EMEA ANZ,Hospital Universitari Sagrat Cor,Sagrat Cor University Hospital,USD
,Taiwan,Asia/Taipei,APAC,Cishan Hospital,Cishan Hospital,USD
,"Korea, Republic of",,APAC,Korea Institute of Public Finance,Korea Institute of Public Finance KIPF,USD
Barcelona,Spain,,EMEA ANZ,Corporacio de Salut del Maresme i la Selva,Maresme and Selva Health Corporation,USD
Alava,Spain,,EMEA ANZ,Gobierno Vasco,Basque Government,USD
DC,United States,,NA,Georgetown University,Georgetown University,USD
Badajoz,Spain,,EMEA ANZ,Hospital Infanta Cristina,Hospital Infanta Cristina,USD
Berlin,Germany,Europe/Berlin,EMEA ANZ,Technische Universität Berlin Fakultät VII Wirtschaft und Management,Technical University of Berlin Faculty VII Economics and Management,EUR
,"Korea, Republic of",Asia/Seoul,APAC,Seoul National University Medical Library,Seoul National University Medical Library,USD
Vaesterbotten,Sweden,Europe/Brussels,EMEA ANZ,Umeå University,Umea University Library,USD
,"Korea, Republic of",Asia/Seoul,APAC,Seoul National University of Science and Technology,Seoul National University of Science and Technology,USD
PUE,Mexico,,LATAM,Colegio Humboldt Mexico,Colegio Humboldt,USD
LISBOA,Portugal,,EMEA ANZ,Universidade Nova de Lisboa,Faculdade de Economia da Universidade Nova de Lisboa,USD
LIMA,Peru,America/Lima,LATAM,Comando de Educación y Doctrina del Ejercito COEDE,Comando de Educación y Doctrina del Ejercito,USD
BJ,China,Asia/Shanghai,APAC,Beijing Foreign Studies University,Beijing Foreign Studies University,USD
NV,United States,,NA,Carson City LDS Family History Library,Carson City LDS Family History Library,USD
Vaestra Goetaland,Sweden,Europe/Brussels,EMEA ANZ,Volvo Technology AB,Volvo Technology AB,USD
PA,United States,,NA,Franklin County Historical Society Kittchotinny,Franklin County Historical Society Kittchotinny,USD
SH,China,Asia/Shanghai,APAC,Shanghai International Studies Univ Songjiang,Shanghai International Studies University Songjiang Campus,USD
MI,United States,,NA,Gale Cengage Learning,Gale Cengage Learning,USD
Radovljica,Slovenia,Europe/Brussels,EMEA ANZ,"Higher Vocational College for Hospitality, Wellness and Tourism Bled","Higher Vocational College for Hospitality, Wellness and Tourism Bled",EUR
UT,United States,,NA,Mequon Thiensville School District,Companion Corporation - Mequon Thiensville School District,USD
CA,United States,,NA,Monterey Family History Center,Monterey Family History Center,USD
IL,United States,,NA,Schiff Hardin LLP,Schiff Hardin LLP,USD
ON,Canada,,NA,Dietitians of Canada,Dietitians of Canada,USD
BASEL STADT,Switzerland,Europe/Brussels,EMEA ANZ,Museum Der Kulturen,Museum der Kulturen,USD
Abu Dhabi,United Arab Emirates,Asia/Dubai,EMEA ANZ,European International College,European International College,USD
BASEL STADT,Switzerland,Europe/Brussels,EMEA ANZ,Basler Afrika Bibliographien (BAB),Basler Afrika Bibliographien,USD
ON,Canada,,NA,Xerox Research Center of Canada,Xerox Research Center of Canada,USD
ZUERICH,Switzerland,Europe/Brussels,EMEA ANZ,Eidgenoessische Technische Hochschule Zurich,Eidgenoessische Technische Hochschule Zurich,USD
COIMBRA,Portugal,,EMEA ANZ,"Bluepharma, Indústria Farmacêutica SA","Bluepharma, Indústria Farmacêutica SA",USD
Uusimaa,Finland,Europe/Helsinki,EMEA ANZ,Luote,Luote,EUR
NS,Canada,,NA,Alderney Gate Public Library,Alderney Gate Public Library,USD
31 Nongbone Village Saysettha District,Lao People's Democratic Republic,Asia/Bangkok,APAC,Eastern Star International School,Eastern Star International School,USD
NS,Canada,,NA,Atlantic School Of Theology,Atlantic School of Theology Library,USD
BASEL STADT,Switzerland,Europe/Brussels,EMEA ANZ,Paul Sacher Stiftung,Paul Sacher Stiftung,USD
Vlaams Brabant,Belgium,Europe/Brussels,EMEA ANZ,Continental Theological Seminary,Continental Theological Seminary,EUR
QC,Canada,,NA,Bibliotheque DI-TSA,Bibliotheque DI-TSA,USD
,Taiwan,Asia/Taipei,APAC,Chienkuo Technology University,Chienkuo Technology University,USD
PB,Brazil,,LATAM,SENAI PB - FIEPB,SENAI PB - FIEPB,USD
NB,Canada,,NA,Horizon Health Network Veterans Health Unit,Horizon Health Network Veterans Health Unit,USD
LIMA,Peru,America/Lima,LATAM,Ibero librerías,Ibero librerías,USD
MAH,India,Asia/Kolkata,APAC,Dhole Patil College of Engineering,Dhole Patil College of Engineering,USD
,Taiwan,Asia/Taipei,APAC,Chung-Hua Institution for Economic Research,Chung-Hua Institution for Economic Research,USD
Tunis,Tunisia,Africa/Algiers,EMEA ANZ,Ministere Recherche Science,Republic Tunisienne Ministere de l'Enseignement Superieur de la Recherche Scient,USD
Osaka,Japan,Asia/Tokyo,APAC,Osaka City Suito Kokusai Jr. High and High School,Osaka City Suito Kokusai Jr. High and High School,USD
